ori		sep				
2	174.114	2	53.731		ÅZ	
5	187.107				ÅZ	
7	355.393				ÅZ	
8	415.568	8	31.69		ÅZ	
		9	264.145		Å~	
18	202.96	18	68.037		ÅZ	
20	33.596	20	31.308		ÅZ	
22	165.299	22	848.333		Å~	
		23	497.769		Å~	
24	38.517	24	14.063		ÅZ	
28	108.456	28	95.446		ÅZ	
30	78.232	30	107.683		Å~	
		32	462.357		Å~	
33	474.981				ÅZ	
35	680.296	35	1089.928		Å~	
40	9.396	40	29.262		Å~	
43	80.372				ÅZ	aa
		46	486.863		Å~	
49	55.611	49	153.331		Å~	
50	10.352	50	10.445		Å~	aa
53	219.305				ÅZ	
58	21.865	58	350.918		Å~	
